AÑO,MES,PROVINCIA_DESTINO,CONTINENTE_ORIGEN,PAIS_ORIGEN,TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA.
2022,11,León,América,Argentina,44,515,11.7
2022,11,Lleida,América,Argentina,136,843,6.2
2022,11,Lugo,América,Argentina,42,416,9.9
2022,11,Madrid,América,Argentina,11318,62249,5.5
2022,11,Murcia,América,Argentina,78,858,11
2022,11,Málaga,América,Argentina,1247,13966,11.2
2022,11,Navarra,América,Argentina,87,792,9.1
2022,11,Ourense,América,Argentina,36,367,10.2
2022,11,Pontevedra,América,Argentina,178,1833,10.3
2022,11,Salamanca,América,Argentina,48,312,6.5
2022,11,Santa Cruz de Tenerife,América,Argentina,195,1970,10.1
2022,11,Sevilla,América,Argentina,346,3425,9.9
2022,11,Tarragona,América,Argentina,237,1849,7.8
2022,11,Toledo,América,Argentina,101,495,4.9
2022,11,Total Nacional,América,Argentina,25228,178555,7.1
2022,11,Valencia/València,América,Argentina,901,9641,10.7
2022,11,Valladolid,América,Argentina,35,315,9
2022,11,Zaragoza,América,Argentina,156,1248,8
2022,12,A Coruña,América,Argentina,182,1911,10.5
2022,12,Alicante/Alacant,América,Argentina,545,4960,9.1
2022,12,Almería,América,Argentina,134,1233,9.2
2022,12,Araba/Álava,América,Argentina,54,443,8.2
2022,12,Asturias,América,Argentina,143,1201,8.4
2022,12,Badajoz,América,Argentina,40,272,6.8
2022,12,Barcelona,América,Argentina,5190,33735,6.5
2022,12,Bizkaia,América,Argentina,123,861,7
2022,12,Burgos,América,Argentina,36,191,5.3
2022,12,Cantabria,América,Argentina,59,478,8.1
2022,12,Castellón/Castelló,América,Argentina,94,649,6.9
2022,12,Cuenca,América,Argentina,41,131,3.2
2022,12,Cáceres,América,Argentina,31,291,9.4
2022,12,Cádiz,América,Argentina,99,1040,10.5
2022,12,Córdoba,América,Argentina,63,403,6.4
2022,12,Gipuzkoa,América,Argentina,161,1369,8.5
2022,12,Girona,América,Argentina,208,1435,6.9
2022,12,Granada,América,Argentina,247,1729,7
2022,12,Guadalajara,América,Argentina,88,493,5.6
2022,12,Huelva,América,Argentina,39,343,8.8
2022,12,Huesca,América,Argentina,37,303,8.2
2022,12,Illes Balears,América,Argentina,546,4805,8.8
2022,12,Jaén,América,Argentina,52,317,6.1
2022,12,La Rioja,América,Argentina,32,189,5.9
2022,12,Las Palmas,América,Argentina,207,2236,10.8
2022,12,Lleida,América,Argentina,161,950,5.9
2022,12,Lugo,América,Argentina,31,195,6.3
2022,12,Madrid,América,Argentina,12563,51508,4.1
2022,12,Murcia,América,Argentina,85,604,7.1
2022,12,Málaga,América,Argentina,1256,12309,9.8
2022,12,Navarra,América,Argentina,96,749,7.8
2022,12,Ourense,América,Argentina,38,384,10.1
2022,12,Pontevedra,América,Argentina,175,1610,9.2
2022,12,Salamanca,América,Argentina,39,265,6.8
2022,12,Santa Cruz de Tenerife,América,Argentina,224,1949,8.7
2022,12,Segovia,América,Argentina,31,245,7.9
2022,12,Sevilla,América,Argentina,251,1857,7.4
2022,12,Soria,América,Argentina,35,144,4.1
2022,12,Tarragona,América,Argentina,227,1748,7.7
2022,12,Toledo,América,Argentina,140,574,4.1
2022,12,Total Nacional,América,Argentina,25169,148050,5.9
2022,12,Valencia/València,América,Argentina,1035,9626,9.3
2022,12,Valladolid,América,Argentina,43,327,7.6
2022,12,Zaragoza,América,Argentina,121,956,7.9
2023,1,A Coruña,América,Argentina,295,3098,10.5
2023,1,Alicante/Alacant,América,Argentina,662,7812,11.8
2023,1,Almería,América,Argentina,96,1181,12.3
2023,1,Araba/Álava,América,Argentina,50,520,10.4
2023,1,Asturias,América,Argentina,185,2220,12
2023,1,Badajoz,América,Argentina,38,448,11.8
2023,1,Barcelona,América,Argentina,6353,48283,7.6
2023,1,Bizkaia,América,Argentina,156,1544,9.9
2023,1,Burgos,América,Argentina,37,303,8.2
2023,1,Cantabria,América,Argentina,65,787,12.1
2023,1,Castellón/Castelló,América,Argentina,100,990,9.9
2023,1,Ciudad Real,América,Argentina,35,368,10.5
2023,1,Cuenca,América,Argentina,41,226,5.5
2023,1,Cáceres,América,Argentina,51,418,8.2
2023,1,Cádiz,América,Argentina,130,1222,9.4
2023,1,Córdoba,América,Argentina,109,916,8.4
2023,1,Gipuzkoa,América,Argentina,173,1211,7
2023,1,Girona,América,Argentina,231,2079,9
2023,1,Granada,América,Argentina,369,3100,8.4
2023,1,Guadalajara,América,Argentina,42,302,7.2
2023,1,Huesca,América,Argentina,51,347,6.8
2023,1,Illes Balears,América,Argentina,561,6339,11.3
